File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey.Target.cs,15,10,7,0,4,0,1,12,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdysseyEditor.Target.cs,15,10,7,0,4,0,1,12,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\LissasOdyssey.cpp,7,3,1,0,3,0,1,12,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\LissasOdysseyGameModeBase.cpp,8,1,0,0,6,0,1,12,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\LissasOdyssey.h,7,2,0,0,4,0,1,12,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\LissasOdysseyGameModeBase.h,18,9,2,0,5,0,4,15,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\LissasOdyssey.Build.cs,24,10,8,0,8,0,6,53,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\CharacterBase.cpp,50,27,13,2,12,0,11,49,0,0
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\CharacterBase.h,43,22,9,0,13,0,8,56,0,0
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\CharacterActors\Shot.cpp,237,159,94,22,43,4,35,228,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\CharacterActors\Shot.h,87,54,27,0,24,2,9,86,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\Foes\Boss.cpp,129,102,54,19,26,1,1,18,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\Foes\Foe.cpp,241,171,98,24,52,3,18,113,1,12
