Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,77,5993,3968,2103,307,1320,35,705,4251,62,744
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source,77,5993,3968,2103,307,1320,35,705,4251,62,744
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey,75,5963,3948,2089,307,1312,35,703,4227,60,720
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters,12,1900,1262,658,109,397,22,241,1400,6,72
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\CharacterActors,2,324,213,121,22,67,6,44,314,2,24
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\Foes,4,625,437,224,43,155,4,33,277,4,48
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\Fylgja,2,215,142,72,9,43,2,30,174,0,0
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Characters\Lyssa,2,643,421,219,33,107,10,115,530,0,0
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\GameModes,4,1458,1050,609,111,288,6,120,631,0,0
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Minimap,4,327,220,123,20,68,0,39,258,4,48
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Pickups,6,225,119,54,4,68,0,38,278,6,72
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\SaveSlots,2,99,74,31,0,19,0,6,31,2,24
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers,12,631,399,185,30,135,6,97,578,12,144
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\UI,2,118,81,36,5,26,0,11,56,2,24
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils,18,567,334,178,0,156,1,77,442,15,180
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\Libraries,2,23,10,2,0,8,0,5,27,2,24
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\Structures,6,120,59,18,0,38,0,23,114,6,72
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\WorldAssets,10,574,384,204,28,129,0,61,449,8,96
